Russia,Ossetian
Он был объявлен банкротом.,He was declared bankrupt.
Я смотрю на дом.,I'm looking at the house.
Вчера я был счастлив.,I was happy yesterday.
Во сколько ты встаёшь?,When do you get up?
"Пожалуйста, ответьте на мой вопрос.",Please answer my question.
Я скоро перееду.,I'll move soon.
Это ваша победа.,This is your victory.
"Обычно я худой, но сейчас я толстый.",I am usually lean yet right now I am fat.
Я устал от твоих бесконечных жалоб.,I'm tired of your endless complaints.
Я интересуюсь музыкой.,I am interested in music.
Я интересуюсь музыкой.,I'm interested in music.
Извините.,I'm sorry.
Извините.,Sorry...
Извините.,Excuse me.
Не бери это близко к сердцу.,Don't take it to heart.
Сколько у вас братьев?,How many brothers do you have?
Это очевидно.,It's abundantly clear.
Мы не можем обойтись без воды даже один день.,We cannot do without water even for a day.
Мы должны узнать результат к четвергу.,We should know the result by Thursday.
Насколько далеко отсюда ваш дом?,How far is it from here to your house?
Риск слишком велик.,The risk is too great.
"Я никогда не повернусь к другу спиной, если ему нужна помощь.",I never turn my back on a friend in need.
Сколько стоит билет до Сеговии?,How much is a ticket to Segovia?
"Мне безразлично, что он сказал.",What he said doesn't make sense to me.
Здесь дорога поворачивает влево.,The road turns left there.
У него есть любые книги.,He has all kinds of books.
"Семенам нужны вода и воздух, чтобы прорасти.",Seeds must have air and water to grow.
"Ты покажешь мне, что купил?",Will you show me what you bought?
Солнце ослепительно сверкало.,The sun glared down on us.
Поначалу работать на новом компьютере для меня было слишком трудно.,The new computer was too complicated for me to use at first.
"Пожалуйста, разбудите меня в семь.",Please wake me up at seven.
Он поцеловал ее в щёку.,He kissed her on the cheek.
Девочка вошла в комнату.,The girl entered the room.
У него есть сын и две дочери.,He has a son and two daughters.
Ты очень смелый.,You are very courageous.
Она выключила радио.,She turned off the radio.
Иди в школу.,Go to school.
Здесь плавать опасно.,It is dangerous to swim here.
Я собираюсь остаться тут на несколько дней.,I am going to stay here for a couple of days.
Давай сравним перевод с оригиналом.,Let's compare the translation with the original.
"Учись так старательно, как только можешь.",Study as hard as you can.
Полиция получила от него часть важной информации.,The police got an important piece of information from him.
Заруби себе на носу!,Put that in your pipe and smoke it!
Статуя высечена из камня.,The statue is carved out of stone.
Я хожу в библиотеку по крайней мере один раз в неделю.,I go to the library at least once a week.
Она подняла одну из стеклянных ваз.,She picked up one of the glass vases.
"С тех пор как он женился, он стал другим человеком.",He has become another man since getting married.
Корабль вскоре был вне поля зрения.,The ship was soon out of sight.
"Она родилась в Америке, а выросла в Японии.",She was born in America and grew up in Japan.
Не смотри на других свысока.,Don't look down on others.
Джек родился 10 августа.,Jack was born on August tenth.
"Насколько мне известно, он прилежный студент.","As far as I know, he's a diligent student."
В моем городе есть замок.,There is a castle in my town.
Их обоих не было на собрании.,Both of them were not present at the meeting.
Мне действительно нравится эта юбка. Могу ли я ее примерить?,I really like this skirt. Can I try it on?
Токио - самый большой город в Японии.,Tokyo is the largest city in Japan.
Нам нужно полить цветы.,We have to water the flowers.
Мы должны убрать в нашем классе.,We must clean our classroom.
Соглашайтесь на мирное урегулирование.,Give peace a chance.
"Мама, ты могла бы почитать мне сказку перед сном?","Mom, could you read me a bedtime story?"
Вчера выпал снег.,Yesterday snow fell.
Он работает переводчиком.,He works as a translator.
"Пожалуйста, вставьте карту.",Please insert your card.
Он напомнил мне не забыть мой паспорт.,He reminded me not to forget my passport.
"Он поехал в Италию, чтобы изучать музыку.",He went to Italy in order to study music.
Время от времени он всё ещё пишет мне.,He still writes to me from time to time.
Через десять лет наш город сильно изменится.,In ten years our town will change a lot.
Не пойму.,I fail to see.
"Прости, что заставил тебя ждать так долго.",I'm sorry I've kept you waiting so long.
Запишем это следующим способом.,We'll note it in the following way.
У неё не меньше двенадцати детей.,She has no less than twelve children.
На столе цветок.,There is a flower on the table.
Пустой дом был полным пыли.,The empty house was full of dust.
Близко ли отель к аэропорту?,Is the hotel close to the airport?
Иметь собственный дом в Токио трудно.,It is difficult to have one's own house in Tokyo.
Он играет в гольф.,He is playing golf.
"Пожалуйста, напишите мне как можно скорее.",Please write to me as soon as you can.
Сколько у тебя братьев?,How many brothers do you have?
Его руки посинели от холода.,His hands were blue with cold.
Его руки посинели от холода.,His hands had turned blue because of the cold.
"После того как я вернулся из-за границы, у меня было много дел.","After I came back from abroad, I had much to do."
Мне не нравятся необработанные края.,I don't like raw cut edges.
Весь экипаж был спасен.,The whole crew was saved.
Она хвастается своей семьёй.,She boasts of her family.
Положи свои лыжи в перевёрнутое V.,Place your skis in an inverted V.
В следующем году я поеду на море.,Next year I'll go to the sea.
Сейчас я в школе и буду здесь до 8.,I am at school now and I will stay here until 8 o'clock.
Том влюбился в Линду.,Tom fell in love with Linda.
Папа и мама подарили мне велосипед.,Mom and Dad gave me a bicycle.
Я должен ему 100 иен.,I owe him 100 yen.
У тебя есть несколько книг.,You have some books.
Я люблю французский кофе.,I love French coffee.
Линда ушла в гости и пока не вернулась.,Linda visited someone and still hasn't come back.
"Сегодня чудный день, не так ли?","It's a beautiful day, isn't it?"
Там охотились на слона.,An elephant was hunted there.
Время быстро проходит.,Time passes quickly.
Тот мужчина умер неделю назад от рака легких.,That man died of lung cancer a week ago.
Есть ли жизнь до смерти?,Is there life before death?
В моём первом компьютере было только 128 килобайт памяти!,My first computer had only 128 kilobytes of memory!
Он присматривает себе работу.,He is looking for a job.
"Неубедительность данной книги состоит в том, что женатый автор рекомендует не жениться.",The weak point of this book is that it's less than persuasive when the married author recommends not being married.
"Пока не холодно, мне нормально.","As long as it doesn't get cold, it's okay."
"Интересно, когда Анжелика Агурбаш пела песню на слова Некляева, могла ли она представить, что он будет баллотироваться в президенты?",I wonder whether Angelica Agurbash could imagine Niaklajeŭ would run for president when she sang a song with his lyrics.
Инвестиции правительства создадут много рабочих мест.,The government's investment will create many jobs.
Не упускай такую хорошую возможность.,Don't let such a good opportunity go by.
У двери кто-то есть.,Someone is standing at the door.
У двери кто-то есть.,There's someone at the door.
Я предпочитаю футбол бейсболу.,I prefer soccer to baseball.
Она управляет обувным магазином.,She manages a shoe store.
Она внезапно замолчала.,She fell silent suddenly.
"Узнав эти новости, он изменился в лице.",He changed his countenance at the news.
Зачем ты это сделал?,What did you do that for?
Зачем ты это сделал?,Why did you do that?
Зачем ты это сделал?,Why did you do it?
Правительству следует отказаться от данных правил.,The government should do away with these regulations.
Мы обсуждали вопрос мирового населения.,We debated on the question of world population.
Этот магазин ориентируется на обслуживание студентов.,This is a store that caters specially to students.
Чья это книга?,Whose book is this?
Чья это книга?,Whose is that book?
"У Мари скоро день рождения, я собираюсь испечь ей пирог.",Mary's birthday will be soon. I am going to bake a cake for her.
Его знает очень много людей.,Very many people know him.
Я не специально.,I didn't mean it.
Я не специально.,I didn't do it on purpose.
Смерть предпочтительна такому страданию.,Death is preferable to such suffering.
Мужчина был пьян как сапожник.,The man was drunk as a mouse.
"Странно сказать, он сдал экзамен в конце концов.","Strange to say, he did pass the exam after all."
Ты хороший игрок в теннис.,You are a good tennis player.
Ты понимаешь?,Do you understand?
Им нужно решить много проблем.,There are many problems for them to deal with.
Мэри продолжала работать несмотря на болезнь.,Mary kept on working in spite of her illness.
Ларри Эвинг женат.,Larry Ewing is married.
"Я не знал, как ответить на его вопрос.",I didn't know how to answer his question.
Ты чересчур много работаешь.,You work too hard.
"Я живу с мамой, братом, бабушкой и дедушкой.","I live with my mother, brother and my grandparents."
Ты вчера был дома?,Were you at home yesterday?
"Они его слушали, не понимая, что он имеет в виду.","They were listening to him, not understanding what he really meant."
Мюрреи уже десять лет как в браке.,The Murais have been married for ten years.
Я закончу работу к семи вечера.,I will have finished the work by seven this evening.
"Что приемлемо в одном обществе, в другом таковым может не быть.",What is right in one society can be wrong in another.
"Мой муж зарабатывает 100,000 евро в год.","My husband makes 100,000 euros per year."
Он обеспечивал их едой.,He provided them with food.
Что означает это слово?,What does this word mean?
У тебя есть презерватив?,Do you have a condom?
Детям необходимо много спать.,Children need a lot of sleep.
"Немецкая пунктуация педантична, английская — хаотична, а в эсперанто доктор Заменгоф предлагал оглядываться на родной язык. Поди тут разберись!","German punctuation is pedantic, English punctuation is chaotic, and for Esperanto Dr. Zamenhof suggested we look towards our mother tongue as a guideline. Go figure!"
"Все языки равны, но английский равнее других.","All languages are equal, but English is more equal than the others."
Из шкафа вылезло трёхрукое чудовище.,A three-handed monster came out of the wardrobe.
"Он не сказал, когда точно вернется.",He didn't specify when he would return.
"Вот книга, которую ты ищешь.",Here is the book you are looking for.
Твой ужин был таким вкусным!,How delicious your dinner was!
Ему было предначертано стать великим переводчиком.,He was destined to become a simultaneous interpreter.
Я пригласил Джейн на обед.,I invited Jane to dinner.
Она должна вернуться к ланчу.,She's supposed to be back by lunchtime.
"Ах! Будь я богат, я бы купил себе дом в Испании.","Ah! If I were rich, I'd buy myself a house in Spain."
У нас много дел.,We have lots of things to do.
Я вымылся.,I washed myself.
Идите в школу.,Go to school.
На прошлой неделе моя мама заболела гриппом.,Last week my mother came down with the flu.
Как ты достал такие деньги?,How did you come by this money?
В этой реке опасно плавать.,That river is dangerous to swim in.
Тебе необходимо бросить курить.,It is necessary for you to stop smoking.
Тебе необходимо бросить курить.,You must quit smoking.
Я пошел в поход с семьей.,I went camping with my family.
"Я сел на автобус, чтобы не опоздать на встречу.",I took a bus so as not to be late for my appointment.
На озере было несколько лодок.,There were some boats on the lake.
Он дал честное слово бросить курить.,He vowed to give up smoking.
Он разговаривает на японском как будто сам является японцем.,He speaks Japanese as if he were Japanese.
Я вынужден выделить еще людей на данную работу.,I have to assign more men to that work.
Я хочу свою комнату.,I want to have my own room.
Солдаты попали под огонь врага.,The soldiers were exposed to the enemy's fire.
"Я приложу все усилия, чтобы сдать этот вступительный экзамен.",I will make every effort to pass the entrance examination.
Я стираю блузку.,I wash the blouse.
Привет! Не ожидал встретить тебя здесь. Мир тесен.,"Hello! Fancy meeting you here! It's a small world, isn't it?"
"Не думаю, что он годится для данной работы.",I don't think he is fit for the job.
В школу требовался новый учитель.,The school needed a new teacher.
"Когда мы переедаем, мы страдаем от несварения.","When we eat too much, we suffer from indigestion."
Мне придется найти работу по совместительству.,I'll have to find a part-time job.
Закрой окно.,Close the window.
"Она чересчур увлекается, когда спорит по данному поводу.",She tends to get carried away when arguing about that matter.
Я восхищен твоей отвагой.,I admire you for your courage.
Экипаж покинул корабль.,The crew abandoned the ship.
"Как обычно, телефон прозвенел, когда я был в ванной.","The phone rang while I was taking a bath, as usual."
Она разрезала яблоко ножом на две половинки.,The apple was cut in two by her with a knife.
Я доверяю Ричарду. Он человек слова.,I trust Richard; he is a man of his word.
Пара решила усыновить сироту.,The couple decided to adopt an orphan.
Она оставила парадную дверь открытой.,She had left the front door unlocked.
У моего дома есть фруктовый сад.,My house has a fruit garden.
В шуме ее голос едва был слышен.,Her voice could hardly be heard above the noise.
"Делай то, что считаешь правильным.",Do whatever you think is right.
Когда-нибудь моя мечта исполнится.,Some day my dream will come true.
Он бросил пить и курить.,He renounced smoking and drinking.
Бобби может смотреть телевизор до 7.,Bobby may watch TV until 7:00.
Она родила близнецов.,She gave birth to twins.
Ваши дети выглядят здоровыми.,Your children look healthy.
Он пришёл сюда до полудня.,He came here before noon.
"Поднимите руки, если у вас есть вопросы.",Raise your hand if you have a question.
Этой зимой снег выпал рано.,Snow fell early this winter.
Ради успеха он заплатил слишком высокую цену.,He paid too high a price for success.
Празднование его дня рождения будет завтра в три часа.,His birthday party is to be held at three tomorrow.
Поэт из неё так себе.,She isn't much of a poet.
Вчера мы очистили улицу от снега.,We cleared the street of snow yesterday.
Ты живёшь с родителями?,Do you live with your parents?
Кто украл яблоко?,Who stole the apple?
Кто стянул яблоко?,Who stole the apple?
Кто стырил яблоко?,Who stole the apple?
Я вернулся домой после двух лет отсутствия.,I returned home after an absence of two years.
"Это тяжёлая, грязная работа.","It's a hard, dirty job."
Моя машина в ремонте.,My car is being repaired.
Моя машина в ремонте.,My car is under repair.
"Если встретишь медведя, притворись мёртвым.","If you should meet a bear, pretend to be dead."
"Правильное питание также является наукой, и как таковая может быть изучено.","Good nutrition is also a science and, as such, can be learnt."
Кем бы ты хотел стать?,What do you want to be in the future?
"Мой отец — работящий, прямой и скромный человек.","My father is a hard-working, straightforward, and modest person."
Его терпение подошло к концу.,He had reached the limits of his patience.
Ешьте и пейте сколько хотите.,You can eat and drink as much as you want.
Книги лежали по всей комнате.,There were books lying about the room.
Горы отражаются в озере.,The mountains are reflected in the lake.
Ему было очень сложно адаптироваться к новой школе.,He found it very difficult to adjust himself to life in the new school.
Я не должен убираться в своей комнате.,I don't have to clean my room.
Отличная идея.,That's a great idea.
Волосы моего отца побелели.,My father's hair has grown white.
Будьте добры к своим детям!,Do be kind to your children!
"Этот дом мой, не ваш.","This house is mine, not yours."
Я слушаю музыку.,I listen to music.
Я слушаю музыку.,I'm listening to music.
Мы недавно обновили оборудование нашего офиса.,Recently we have brought our office equipment up to date.
Рад был поговорить с вами.,I've enjoyed talking to you.
"Она сказала мне, что купила компакт-диск.",She told me that she had bought a CD.
Меня здорово покусали комары.,I've been badly bitten by mosquitoes.
Рождество выпадает в этом году на воскресенье.,Christmas falls on Sunday this year.
Какие телепередачи вам больше всего нравятся?,Which of the TV programs do you like best?
"Младенцы кричат, когда голодные.",Babies cry when they are hungry.
На этой неделе вишня в парке стоит в полном цвету.,This week the cherry blossoms in the park are in full bloom.
"Сократа обвинили в атеизме, потому что он не верил в Зевса.",Socrates was accused of atheism because he did not believe in Zeus.
Настоящий учёный так бы не подумал.,A true scientist wouldn't think like that.
Кто это?,Who is it?
Кто это?,Who's this?
Кто это?,Who's that?
Кто это?,Who is that?
Это не страшнее немцев.,This isn't any scarier than the Germans.
Ну ты хулиган!,You sure are a hooligan!
Ну ты хулиганка!,You sure are a hooligan!
"Хотя в этом предложении нет грамматических ошибок, полагаю, что оно практически никогда не будет использовано.","Although this sentence has no grammatical mistakes, I think it would practically never be used."
"С точки зрения грамматики с этим предложением всё в порядке, но я думаю, что на самом деле его никто бы не стал использовать.","Grammatically there is nothing wrong with this sentence, but I think it would never actually be used."
Ей не с кем поговорить.,She has no one to speak to.
Я боюсь высоты.,I'm afraid of heights.
Я боюсь высоты.,I am afraid of heights.
Я боюсь высоты.,I'm scared of heights.
Завтрак готов.,Breakfast is ready.
Как себя чувствуете?,How do you feel?
Он не смог прийти из-за болезни.,He could not come because of his illness.
Я живу в Токио.,I live in Tokyo.
"Она испытывала ревность, когда он разговаривал с другими девушками.",She was jealous when he talked to another girl.
Преподавание требует большого терпения.,Teaching demands a lot of patience.
По утрам я всегда пью две чашечки кофе.,I always have two cups of coffee in the morning.
По утрам я всегда пью две чашечки кофе.,I always drink two cups of coffee in the morning.
"Я не сержусь на него, поскольку он сделал ошибку.",I am not angry with him because he made a mistake.
Оператор попросил меня оставаться на линии и подождать.,The operator told me to hang up and wait for a moment.
Его крестили Джоном.,He was christened John.
"Кажется, Джек — троюродный брат Мэри.","Jack is Mary's second cousin, I believe."
Я увидел его впервые за 10 лет.,I saw him for the first time in 10 years.
"Я думал, ей в крайнем случае тридцать.",I thought she was 30 at most.
Он получил хорошее образование в Англии.,He received a good education in England.
"Видели, как он входил в здание.",He was seen to enter the building.
Том хороший повар.,Tom is a good cook.
Я никогда не слышал от неё плохого о других.,I've never heard her speak ill of others.
"Я был таким же, как ты сейчас; ты будешь тем же, что я есть сейчас.",I was what you are; you'll be what I am.
Лев — животное.,The lion is an animal.
Лев — животное.,A lion is an animal.
Я без труда нашёл его офис.,I had no difficulty in finding his office.
Она холодно посмотрела на меня.,She gave me an icy look.
Он отдал жизнь за свою страну.,He gave up his life for his country.
"Она упала бы в пруд, если бы он не подхватил её за руку.",She would have fallen into the pond if he had not caught her by the arm.
"Человек — единственное животное, использующее огонь в своих целях.",Man is the only animal that can use fire.
Его следует посадить.,He should be put in prison.
Он солгал об этом деле.,He lied about the matter.
Анна ничего не доведёт до конца.,Anne will not accomplish anything.
"О, конечно я учил английский язык в школе. Но только два или три года назад я принялся за него всерьёз.","Oh, sure, I studied English in my school days. But it wasn't until two or three years ago that I really started taking it seriously."
Мы встречаемся с целью пожениться.,We are dating with a view to marriage.
Лучше бы ты не выпил всё молоко.,You'd better not have drunk all the milk.
Весь эксперимент записан на плёнку.,The whole experiment was recorded on film.
Форма в школах бывает разная.,Uniforms differ from school to school.
Великие люди любят чувственные удовольствия.,Great men are fond of sensual pleasures.
Любая интересная книга подойдёт.,Any book will be okay as long as it is interesting.
Они кинулись к своей маме.,They rushed towards their mother.
Мы можем рассчитывать на его финансовую поддержку.,We can count on him for financial help.
Мне приснился странный сон.,I dreamed a strange dream.
Мне приснился странный сон.,I dreamt a strange dream.
"Не могли бы вы пройти, чтобы мы могли закрыть дверь?",Could you move forward so we can close the door?
Он вырос в Австралии.,He was brought up in Australia.
Он вырос в Австралии.,He grew up in Australia.
Им надоело играть.,They didn't feel like playing any more.
До Парижа пятьдесят километров.,It's fifty kilometers to Paris.
Прошлой ночью мы с крыши смотрели на звёзды.,"Last night, we watched the stars from the rooftop."
Ночью мы с крыши смотрели на звёзды.,"Last night, we watched the stars from the rooftop."
"И мальчикам, и девочкам нужно учиться готовить еду в школе.",Both boys and girls should take cooking class in school.
Мы рано начали.,We got an early start.
На потолке висела красивая люстра.,There was a beautiful chandelier hanging from the ceiling.
План обсудили в деталях.,The plan was discussed in detail.
Её глаза смеются.,Her eyes are laughing.
Сегодня я потратил 100 долларов.,I spent 100 dollars today.
Я воспользовался возможностью посетить Рим.,I took the opportunity to visit Rome.
"Насколько мне известно, он хороший человек.",He may be a good man for all I know.
"Возвращайся домой пораньше, Билл.","Come home early, Bill."
Он по глупости убил гуся.,"He killed the goose, foolishly."
"Ты слишком занят, чтобы черкнуть мне строчку?",Are you too busy to drop me a line?
"Она сказала, что была счастлива.",She said that she had been happy.
"Мама предложила, чтобы я немедленно ей написал.",Mother suggested that I write her at once.
"Ваш второй ребёнок — мальчик? Вам повезло! Всё как в изречении: сначала мальчик, потом девочка.",Your second child is a boy? Lucky you! Things are going according to the saying - Have a girl first and a boy next.
"Его речь была такая длинная, что мы все заскучали.",He made such a long speech that we all got bored.
К тебе приходила блондинка.,A girl with blonde hair came to see you.
В Киото много чего посмотреть.,There are many sights to see in Kyoto.
Говорить по-английски непросто.,Speaking English isn't easy.
Как-то я работал в ресторане.,I once worked in a restaurant.
"Она гордится тем, что хорошенькая.",She takes pride in her good looks.
Мы ничего не можем поделать.,We can do nothing about it.
"Было тихо, только иногда проезжали автобусы.",All was quiet except that buses sometimes ran.
Я продавец.,I'm a salesman.
Я продавец.,I'm a salesperson.
Ты вообще меня слушаешь?,Are you listening to me at all?
"Мы думали, он гений.",We thought of him as a genius.
Вы видели новый дом Мэрилин?,Have you ever seen the new house in which Marilyn lives?
"Я озадачился, что делать дальше.",I was puzzled about what to do next.
"Я помогу тебе, если возникнут неприятности.",I will help you if you are in trouble.
"Мы смотрели, как солнце садится за горы.",We watched the sun setting behind the mountains.
Словами не передать моих чувств.,Words cannot convey my feelings.
Вечная тишина этого бесконечного пространства пугает меня.,The eternal silence of these infinite spaces terrifies me.
"В документе сказано, что война началась в 1700 г.",The document records that the war broke out in 1700.
Это касается этикета.,It's a matter of etiquette.
Даже чёрствого можно растрогать до слёз.,Even the hard-hearted can be moved to tears.
Эти часы сломались.,This watch is broken.
Как насчёт сходить в кино?,How about going to the movies?
"Я не понимаю, как это работает.",I don't understand how this works.
Мне нужно сбросить пару кило.,I need to lose a few kilos.
Ты ещё не съел торт.,You haven't eaten the cake yet.
Как ты узнал о ней?,How did you get to know about her?
Это показывает его любовь к своей семье.,That shows the depth of his love for his family.
Я уважаю её самоотверженность.,I respect her selflessness.
Это приспособление здорово сэкономит время хозяйке.,This is a great time-saving gadget for the housewife.
В девять часов вы можете услышать новости по радио.,You can hear the news on the radio at nine o'clock.
"Я нашёл книгу, которую долго искал.",I found the book I had long been looking for.
Просто подпишите здесь.,Just sign here.
Её всегда сопровождает мама.,Her mother always accompanies her.
Курить вредно для здоровья.,Smoking is harmful to health.
"Кто ответственный в офисе, когда босса нет?",Who is in charge of the office while the boss is away?
Он был невинен как дитя.,He was innocent as a child.
"Само собой разумеется, домашние животные запрещены.",It goes without saying that pets are not allowed.
На ужин она разогрела суп.,She heated up the cold soup for supper.
Мистер Хино перевёл книгу с испанского на японский.,It was Mr Hino who translated the book from Spanish into Japanese.
"Когда я встал утром, шёл дождь.","When I got up this morning, it was raining."
Летом я отправился на юг Тихого океана за романтическими приключениями.,I went to the South Pacific for a summer of romantic adventure.
Как насчёт передохнуть?,What do you say to taking a rest?
Я уберусь на кухне позже.,I'll clean up the kitchen later.
Ты водишь как маньяк!,You're driving like a maniac!
"Увы, она умерла молодой.","Alas, she died young."
Пара потратила много денег на обстановку своего дома.,The couple spent a lot of money on furnishing their house.
"Его вчерашние слова не согласуются с тем, что он говорил неделю назад.",What he said yesterday is not consistent with what he had said last week.
Свечи осветили комнату.,The candles made the room bright.
Сиделка измерила его температуру градусником.,The nurse took his temperature with a thermometer.
В Америке потребление фаст-фуда возросло в три раза с 1977 по 1995 гг.,"In America, the consumption of fast-food has tripled between 1977 and 1995."
Их ссора вспыхнула из-за недоразумения.,Their quarrel sprung from misunderstanding.
Кредиторы наслаждаются прибыльным периодом.,Money lenders are enjoying a profitable period.
Собака в злости ощерилась.,The dog's hair bristled up with anger.
Мой папа продолжает петь.,My father carried on singing.
Быстр как молния.,As quick as a wink.
Где поблизости туристическое бюро?,Where's the nearest travel agency?
История была во всех дневных газетах.,The story was in all daily newspapers.
В вашем доме очень уютная атмосфера.,Your house has a very cozy atmosphere.
Студенты выучили наизусть множество стихов.,The students learned many poems by heart.
Я приведу пример предложения.,I am adding an example sentence.
"У него была странная ухмылка на лице в какой-то момент. Как ты думаешь, что за ней скрывается?",That person has had an odd grin on his face for a while. What do you suppose is behind it?
Могу я понести ваш багаж?,Shall I carry your baggage?
А вот и автобус!,Here comes the bus!
Её назвали в честь бабушки.,She was named after her grandmother.
"У неё нет ни опыта печатания, ни интереса к этому навыку.","She has no experience in typing, nor does the skill interest her."
Все рассмеялись его шутке.,His joke set everyone laughing.
Он набрался смелости отклонить предложение.,He gathered the courage to decline the offer.
Одень лучше свитер под куртку.,You'd better wear a sweater under your jacket.
"Всё, что вам нужно, - это нажать на кнопку.",All you have to do is press the button.
Тебе лучше поехать на трамвае.,You had better go by tram.
Они вломились в дом.,They broke down the house.
"Объясните этот факт настолько ясно, насколько это возможно.",Explain the fact as clearly as possible.
Я должен достать билет на концерт любым способом.,I must get the concert ticket by all means.
Он пересёкся с ней на вокзале.,He came across her at the station.
Куда-нибудь из этого можно легко добраться на автобусе?,Are any of these locations easy to get to by bus?
Не будь повторюшкой.,Don't be a copycat.
"Я думаю, Кэйт тоже умна.",I think Kate is also a clever person.
"Можете представить меня мистеру Оно из ООО ""Рэндольф""?","Could you introduce me to Mr Ono of Randolph, Ltd?"
"Три года, как он умер.",He has been dead for three years.
Я пошёл во флот.,I went into the navy.
Он бросил курить ради своего здоровья.,He stopped smoking for his health.
Он купил билет на самолёт.,He bought a plane ticket.
Площадь была иллюминирована яркими огнями.,The square was illuminated by bright lights.
Мой дом выходит на оживлённую улицу.,My house faces a busy street.
"Оказалось, что дорогие машины ни к чему.",The expensive machine turned out to be of no use.
"""Ничего, если я закурю?"" ""Ни в малейшей степени"".","""Do you mind if I smoke?"" ""Not in the least."""
Никита Хрущёв был на вершине своих сил.,Nikita Khrushchev was at the height of his powers.
"У Боба слишком много книг, которые нужно прочесть.",Bob has too many books to read.
У Боба слишком много книг для чтения.,Bob has too many books to read.
Жизнь совсем не радостна.,Life is not all fun.
В жизни не всё радость.,Life is not all fun.
Жизнь не всегда радостна.,Life is not all fun.
Процесс закрыт для публики.,The trial is not open to the public.
"Похоже, она знала правду случившегося.",She seems to have known the truth of the matter.
"Она сказала: ""Ничего смешного! А как тебе понравится, если тебе это сделают, что бы ты сделал?""","She said, ""It's not funny! How would you like it if someone did that to you - what would you do?"""
Где ты это вообще купил?,Where ever did you buy it?
Тебе есть чем заняться после этого?,Do you have anything to do after that?
Его уволили против желания.,He was fired against his will.
Где эскалатор наверх?,Where's the up-escalator?
Девочка всхлипывала в углу класса.,The girl was sobbing in the corner of the schoolroom.
Всё движение остановилось из-за аварии.,All the traffic was brought to a standstill by the accident.
Первым пришёл мистер Грей.,Mr Gray was the first man that arrived.
Первым пришёл мистер Грей.,Mr. Gray was the first man that arrived.
Соседское радио действует мне на нервы.,The radio next door gets on my nerves.
Он всего лишь клерк.,He is nothing more than a clerk.
Лучше бы я не покупал этой бесполезной вещи.,I wish I had not bought such a useless thing.
Мужчина из соломы стоит золотой женщины.,A man of straw is worth a woman of gold.
Я поймал его на списывании.,I caught him cheating in the examination.
Учитель рассказал нам забавную историю.,The teacher told us a funny story.
Я очень часто катаюсь на лыжах.,I go skiing very often.
"Прости, что не написал раньше.",Sorry I didn't e-mail you sooner.
Говорить по-английски клёво.,It's fun to speak in English.
Почтальона покусала собака.,The postman was bitten by that dog.
Ей не к кому обратиться.,She has no one to turn to.
Ты не выглядишь так уж круто.,You don't look so hot.
Теперь начинаем игру.,Now let's begin the game.
Учитель занят проверкой работ.,The teacher is busy marking papers.
"Я слышу, как скрипят шестерёнки в твоём мозгу.",I can hear the sound in your mind.
Ниже мы написали имена учеников нашего класса.,Underneath we wrote the names of the students in our class.
Ты это серьёзно говоришь?,Are you in earnest in saying so?
"Не подскажете, где почта?",Can you direct me to the post office?
Ты не можешь провалиться на этот раз.,You cannot fail this time.
"Она не знала, какую дверь открыть.",She wondered which door to open.
Не потеряй возможность сделать ей предложение.,Don't hesitate to take the opportunity to propose to her.
Его состояние досталось мне даром.,His estate came to me as a free gift.
"Жаль, что тебя не будет.",It is a pity you cannot come.
"Никто из нас не был настолько глуп, чтобы поверить ему.",None of us is so foolish as to believe that he was telling the truth.
Было почти невозможно получить подготовленного пилота.,It was next to impossible to get a trained pilot.
Я встретил его в конце платформы.,I met him at the end of the platform.
Наш учитель всегда прикольный.,Our teacher is always cool.
Я помешан на гольфе.,I am crazy about golf.
"Мне стало ясно, что он сделал это специально.",It occurred to me that he had done it on purpose.
Ему свойственно смеясь относиться к неприятностям.,Laughing troubles away is characteristic of him.
Вы за или против этой идеи?,Do you support or oppose this idea?
