Как тебя зовут?	Дæ ном куыд хуыйны?
Я был удивлён этим.	Мæнмæ диссаг фæкастис.
Она всегда ссорилась со своими братьями.	Уый алы хатт дæр йе’фсымæртимæ хыл кодта.
Давайте говорить по-французски.	Цæйут дзурæм французаг æвзагыл.
Я трезв.	Æз æвронг дæн.
Он был одет в синее.	Арвхуыз дзаумæдтæ йыл уыдис.
Где они?	Кæм сты ?
Вы молоды.	Сымах нæма æвзонг стут.
У меня было много веселья в Австралии.	Бирæ хъæлдзæг дзинæдтæ мын уыдис Австралийы.
Том не зол.	Том мæсты нæу.
Могу я говорить по-французски?	Мæ бон у французаг æвзагыл дзурын?
Том и Мэри часто звонят друг другу.	Том æмæ Мэри кæрæзимæ арæх дзурынц.
Шутишь!	Хъынджылæг кæныс!
Мне действительно нужен отпуск.	Мæн æцæгæй дæр хъæуы отпуск .
Он получил довольно много писем этим утром.	Ацы райсомæй йæм æрбацыд бирæ фыстæджытæ.
Ты должен прибыть в школу до восьми.	Скъоламæ аст сахатмæ хъуамæ æрбацæуай.
Выходите!	Рахизут!
Вы помните Тома?	Томы хъуыды кæнут ?
Сюда!	Ардæм!
Том не хочет иметь ресторан.	Томы нæ фæнды, цæмæй йын хæрæндон уа.
После ужина мы вышли на прогулку.	Æхсæвæры фæстæ рацыдыстæм тезгъо кæнын мæ.
У тебя ещё есть вопросы?	Исты фарстатæ ма дæм ис ?
Мы с Томом ушли пораньше.	Мах Томимæ раздæр ацыдыстæм.
Следующая очередь ваша.	Дарддæр уæ рад уыдзæнис.
Том всё утро провёл с Мэри.	Том нæхъæн райсон арвыста Мэриимæ.
Вам надо было раньше прийти.	Сымах раздæр хъуыдис æрбацæуын.
Не лги мне.	Ма мæ сай.
Мы доберёмся туда вовремя.	Афоныл бахæццæ уыдзыстæм .
Все пришли на вечеринку, кроме Тома.	Иууылдæр æрбацыдысты хъазтизæрмæ ,Том йеддæмæ.
Том лжет.	Том сайгæ кæны .
Это ваш карандаш?	Ай сымах кърандас у?
Я ищу Нацуко.	Æз Нацукойы агурын.
Он передал деньги продавцу.	Хца радта уæйгæнæгмæ.
Том вялый.	Том лæмæгъ у .
Она скрывает от нас правду.	Растдзинад нæ æмбæхсы.
Всё ясно?	Алцыдæр бæрæг у ?
Где газета?	Кæм ис газет ?
В следующий раз я приду вместе с сестрой.	Иннæ хатт мæ хоимæ æрбацæудзынæн.
Приходите послезавтра, пожалуйста.	Табуафси, иннæбон иу æрбацæут .
Пошли есть.	Цом хæрынмæ.
Том хорошо работает.	Том дзæбæх кусы.
Ты можешь отпустить Тома.	Дæ бон у мæ Томы ауадзай.
Это ваше?	Сымах у?
Том врёт?	Том сайгæ кæны ?
Воду, пожалуйста.	Дон , табуафси.
Если играешь, то выиграешь.	Кæд хъазыс, уæд рамбулджæ
Мэри моя.	Мэри мæн у.
Испугался?	Фæтарсттæ?
Ты позвал Тома?	Томмæ фæдзырдтай?
Не спрашивайте меня о ней, пожалуйста.	Табуафси, ма мæ фæрсут умæй
Ты умный.	Зæнджын дæ.
Пожалуйста, выйдите из моей машины.	Табуафси, машинайæ ахизут
Мы с Томом согласны.	Æз æмæ Том разы стæм .
Сколько стоит эта рубашка?	Ацы хæдон цас кæны ?
Том не любит сидеть дома.	Том нæ уарзы хæдзары бадын.
Японский язык сложный, но не настолько, как китайский.	Япойнаг взаг зын у, фæлæ китайаг зындæр у
Она его так любила.	Тынг æй уарзта
Они не хотят, чтобы вы знали.	Уыдоны нæ фæнды, шæмæй йæ сымах зонæт
Я боюсь темноты.	Ыз тæрсын талынгæй
Если я ошибаюсь, поправьте меня.	Кæд фӕрӕдийын уæд мæ бараст кæнут
Я не умею читать.	Ыз нæ зонын фæрсын
Том не виноват в том, что случилось.	Цы хабар ӕрцыд ум Томы аххос нæй
Мы лежим на траве.	Мæх хуыссам кæрдæгыл
Прочтешь эту книгу, положи её на прежнее место.	Куы бæфæрсай ацы чиныг, уæдай ӕрӕвӕр ейæ бынаты
Даже если бы Том нас увидел, он бы ничего не сказал.	Том нæ куы федтаит уæддæр ницы загътаит
Многие алжирцы живут и работают во Франции.	Бирӕтӕ алжирецтæ цæрынц æмæ кусынц Францийæ
Она оставила окно открытым.	Ныууагъта рудзынг гомæй
Том продолжает писать.	Том уӕд дӕр фыссы
Том больше не курит.	Том тамако нæл дымæ
Какую одежду ты обычно носишь?	Цыхуызæн дзаумӕттӕ дарыс
Могу я воспользоваться телефоном?	Мæ бон у мæ дæ телефонæй спайда кæнон?
Садитесь!	Æрбадут!
Мы даже не знаем, что это.	Нæдæрæй зонæм цы у
Том с вами?	Том сымахимæ ис ?
Том и Мэри не любят меня.	Том æмæ Мэри нæ уарзынц мæн.
Вытри руки этим полотенцем.	Дæ къухтæ ацы хисæрфæнæй нысæрф.
Дайте мне те перчатки.	Раттут мын уыцы армкъухтæ
Я победил!	Æз рамбылдтон!
Я уже ничего не понимаю.	Ыз ницыуæл æмбæрын
Вы жалуетесь и жалуетесь на боль в спине, но никогда не идёте к врачу.	Сымах уæ астæуы рыстæй хъаст кæнут ,фæлæ дохтуртæм нæ цæут.
Я сказал Мэри, что хочу быть просто другом.	Æз загътон Мэрийæ кæй мæ фæнды , цæмæй æмбæлдтæ уæм.
Как ты думаешь, я похож на Тома?	Куыд хъуыды кæныс , Томы хуызон дæн?
Вы выбрали плохое время.	Сымах равзæрстат æвзæр рæстæг
Я стою.	Æз лæууын.
Это японская кухня?	Ай япойнаг кухнæ у ?
Иду.	Фæцæуын.
Я посчитал деньги.	Ыз банымæттон æхца
У Тома слишком богатое воображение.	Томæн хъæхъыг фæлгæнæн ис.
Том сел за пианино и начал играть.	Том æрбадти пианинæйы раз æмæ райдыдта хъазын.
Приготовьтесь к эвакуации.	Уæхи рцæттæ кæнут эвакуацимæ.
Я не забыла.	Нæ мæ ферох ис .
Это ваше письмо?	Ай сымах фыстæг у?
Есть новости?	Исты хабæрттæ ис ?
Я выбрала.	Æз равзæрстон.
Ты идёшь на свадьбу Тома и Мэри?	Цæуыс Том æмæ Мэрийы чындзæхсæвмæ?
Я буду очень рад, если вы мне поможете.	Тынг æхсызгон мын уыдзæнис, кæд мын баххуыс кæнат уæд .
Ты не знаешь, чьё это?	Нæ зоныс , ай кæй у ?
Просто скажи мне, что ты знаешь о Томе.	Зæгъ ма мын , цы зоныс Томы тыххæй.
Чей ход?	Кæй цыд у?
Кто в доме?	Хæдзары чи ис?
Я услышал эту новость случайно.	Æз уыцы хабар æнæнхъæлæджы фехъуыстон.
Он запел.	Нызарыдис.
Я решил посетить Бостон.	Æз сфæнд кодтон Бостоныл азилын.
Том простил тебя?	Том дынæй ныббæрста?
Вы выиграли.	Сымах рамбылдтат.
Мы играли и смеялись.	Мах кафыдыстæм æмæ худтыстæм .
Я против.	Æз разы нæ дæн .
Садитесь здесь.	Ам æрбад.
Выйди.	Рахиз.
Успокоились!	Æрсабыр ут!
У меня паспорт украли.	Мæ паспорт мын адавтой.
Я должен выучить французский язык.	Æз хъуамæ сахуыр кæнон французаг æвзаг.
Вы тоже едете?	Сымах дæр цæут ?
Том жив.	Том удгас у?
Не пора ли тебе спать?	Афон дын нæу фынæй кæнын?
Вы слепой?	Куырм дæ?
Почему ты пропустил обед?	Цæмæн ауагътай сихор?
Что Том делал сегодня?	Том абон цы арæзта?
Идите за нами.	Нæ фæстæ рацыт.
Какое мне дело до Тома?	Мæн цы хъуыддаг ис Томмæ .
Том плавал.	Том ленк кодта .
Что ты творишь с Томом?	Цы ми кæныс Томæн ?
Гарантирую.	Фидардзырд дæттын.
Приезжай.	Æрцу.
Мы молоды.	Мах æвзонг стæм .
Начинать?	Райдайæм ?
Кошка мокрая.	Гæды хуылыз у.
Я и по-французски говорю.	Æз ма французаг æвзагыл дæр дзурын.
Том слаб.	Том æдых у .
Помните?	Хъуыды ма кæнут ?
Я не умру.	Æз нæ амæлдзынæн .
Не смейся!	Ма худ !
Как ты?	Куыддæ?
Пожалуйста, не беспокойтесь.	Табуафси , ма тыхс.
Том, ты врун!	Том сайæгой нæу!
Я изменюсь.	Æз аивдзынæн .
Сколько у вас детей?	Цал сывæллон уын ис ?
Возможно, Том не знает, что делать.	Æвæццæгæн ,Том нæ зоны цы хъæуы аразын уый.
Спрашивай.	Бафæрсут.
Том, наверно, ждет.	Том æвæццæгæн нхъæлмæ кæсы.
Вчера была плохая погода.	Знон æвзæр боныгъæд уыдис.
Он ходил туда-сюда.	Дыууæ рдæм рацу-бацу кодта .
Садитесь сюда.	Ардæм æрбадут.
Если хочешь, можешь остаться здесь.	Кæддæ фæнды, уæд ам æрлæу .
Когда ты едешь?	Кæд цæуыс?
Для тебя, Том, я всё сделаю!	Дæуæн Том , æз алцыдæр сараздзынæн .
Я не тупой.	Æз къуырма нæ дæн .
Том врёт.	Том сайгæ кæны.
Не поможете мне?	Нæ мын баххуыс кæндзыстут?
Том знает, почему он едет сюда?	Том зоны, цæмæ цæуы ардæм?
Поезжайте сейчас.	Ардæм æрцу.
Не перечь мне!	Ныхмæ мæм ма лæуу!
Можно я это потом сделаю?	Гæнæн ис мæ йæ стæй саразон?
Откуда у тебя такая уверенность?	Кæцæй дæм ис уыцы ныфс?
Позавчера мои друзья пришли ко мне в гости.	Æндæрæбон мæм ме’мбæлдтæ æрбацыдысты уазæгуат.
Мы арабы.	Мах арабтæ стæм.
Мы едим сырую рыбу.	Мах хæрæм хом кæсаг.
Все умерли.	Иууылдæр амардысты.
Ты что, еще не обедал?	Нæма сихор нæ бахордтай?
Куда Вы ходили?	Кæдæмты цыдыстут?
Кому мы должны денег?	Кæмæй дарæм æхца?
Вот что смешно.	Мæнæ цы ис худæг .
Том, если ты пойдёшь, я тоже пойду.	Том , кæд ды цæуай , уæд æз дæр ацæудзынæн .
Я её съел.	Æзæй бахордтон.
Ты американец?	Америкайнаг дæ?
Сегодня возможен дождь.	Гæнæн ис мæ абон къæвда уа.
Я вернулся домой с пустыми руками.	Æз хæдзармæ æрбацыдтæн афтид къухтимæ.
Как думаешь, в чем мне лучше пойти на завтрашнее свидание?	Куыд хъуыды кæныс, цæй мидæг ашæуон сом боны сæмбæлдмæ?
Том уехал.	Том ацыдис.
Оно красное.	Сырх у .
Все были в ужасе.	Иууылдæр уыдысты тасы.
Это было ужасное дело.	Тынг æвзæр хъуыддаг уыдис.
Давайте устроим вечеринку.	Цæйут саразæм хъазтизæр.
Я не знаю, когда Том вернётся из Бостона.	Æз нæ зонын , Том кæд æрцæудзынæн Бостонæй .
Мы болеем.	Мах рынчын стæм.
Я сегодня видел очень интересный сон.	Æз абон диссаджы фын федтон.
Я рад.	Æхсызгон мын у .
Выглядит очень дорогим.	Тынг хъæздыг зыны.
Том от голода не умрёт.	Том æхормагæй нæ амæлдзæн.
У тебя есть время пообедать?	Сихор бахæрыны рæстæг дын ис ?
На твоём месте я бы не стал помогать Тому.	Дæ бынаты ыз нæ баххуыс кодтаин Томæн
Том был на балконе.	Томы уыди балкъоныл
Она чувствовала, как у неё дрожат колени.	Йæ уæрджытæ куыд зыр-зыр кодтой , уый хатыдта .
Поел?	Бахордтай?
Темно.	Талынг .
Ты и я никогда не согласимся.	Æз æмæ ды иу дзырд мæ никуы рцæудзыстæм.
Повернись.	Разил .
Городу нужно больше велосипедных дорожек.	Горæтæн хъæуы фылдæр велопидон фæндæгтæ
Он купит новый велосипед на следующей неделе.	Уи балхæнджен велосипед иннæ къуыри
Хочешь встретиться со мной завтра вечером?	Кæддæ фæнды уæд фе’мбæлæм сом изæр ?
Она встретится с ним завтра.	Уи фембæлджен йемæ сом
Откуда берётся ветер?	Кæцæй цæуы дымгæ ?
Пиши мне.	Фысс мæм.
Так шумно.	Тынг хъæлæба .
Увидимся завтра?	Сом фе’мбæлдзыстæм?
А вы?	Сымах та ?
Это твой.	Ай дæу у .
Вы когда-нибудь ели устриц?	Сымах искуы хордтат устрицæтæ?
Я ем хлеб.	Æз дзул хæрын .
Меня интересует одна вещь.	Мæн цымыдис кæны иу хабар
Том, ты на каких языках говоришь?	Том , ды цы æвзæгтыл дзурыс ?
Она держит на руках младенца.	Сывæллоны йæ хъæбысы хæцы
Подождите!	Фæлæуут!
А где те деньги, что я вам вчера дал?	Знон уын цы хца радтон, уыдон кæм сты?
Они не могут сделать ничего другого.	Нæу сæ бон ндæр саразын
Никто не проверял этого.	Ничи йæ абæрæг кодта
Вы сильнее её.	Сымах умæй тыхджындæр стут
Это Тому.	Ай Томæн.
Что это был за звук?	Уый цы зæл уыдис ?
Том с Мэри?	Том Мэриимæ ис ?
Я слышал, что ты богат.	Афтæ фе’хъуыстон мæ хъæздыг дæ.
Том всё отрицал.	Том нæ сæтты.
Мы лгали.	Мах сайгæ кодтам.
Я сделаю, если покажешь как.	Æз сараздзынæн , кæд равдисай куыд хъæуы уый.
В общежитии, где он живёт, еда очень хорошая.	Æмдзæрæны, уый кæм цæры , ис тынг хорз хæрд .
Где я?	Кæм дæн?
Том танцует.	Том кафгæ кæны.
Я снова встал.	Нæуæгæй та сыстадтæн.
Кто она?	Чи у ?
Вру.	Сайын.
Он умён.	Зæнджын у.
Забудь.	Ферох кæн.
К какому возрасту ты хотела бы выйти замуж?	Цал азæй дæ фæндыдаит чындзы ацæуын.
Он ничего не писал.	Ницы фыста.
Я это знаю.	Æз ай зонын.
Слишком поздно.	Æгæр рæгмæ у .
Мне уйти?	Ацæуон ?
Поезжайте с кем хотите.	Рацæут кæимæ уæ фæнды.
Я не хочу, чтобы Том ехал с Мэри в Бостон.	Мæн нæ фæнды , цæмæй Том ацæуа Мэриимæ Бостонмæ .
Тому не нравится, когда его игнорируют.	Томы зæрдæмæ нæ цæуы , куы ницæмæйæ фæдарынц уый.
Могила!	Ингæн !
Я мешаю тебе?	Хъыгдарын дæ?
Буря стихла.	Уаддымгæ æрсабыр ис .
Интересно.	Кæддæра.
Забудьте меня.	Ферох мæ кæнут .
Том один?	Том иунæгæй ис ?
Я слышал, вы не едите мясо.	Афтæ фехъуыстон дзидза нæ хæрут.
Том знает французский.	Том зоны французаг æвзаг.
Просто не иди.	Ма ацу.
Ответьте мне.	Дзуапп ма мын раттут.
Извините.	Бахатыр кæнут .
Отойди!	Ахиз !
Уходи.	Ацу .
Берегись!	Дæхи хъахъхъæ!
Молчи!	Дæ дзыхыл хæц!
Вставай!	Уæлæмæ сыст!
Вставайте!	Уæлæмæ сыстут!
Стыдись!	Æфсæрмы кæн!
Правда?	Æцæг?
Развлекайтесь.	Уæ хи ивхæрсут.
Обернись.	Фæстæмæ фæзил.
Увидимся.	Фенæм кæрæдзи.
Успокойтесь.	Æрсабыр ут .
Зайдите!	Æрбахизут !
Зачем?	Цæмæ?
Знаем.	Зонæм .
Он сказал, что очень хочет есть.	Уи загъта, ома йæ тынг фæнды хæрын
Тебя-то кто туда звал?	Исчи дæ хуыдта уырдæм?
Когда ты в последний раз писал Тому?	Томæн фæстаг хатт кæд ныффысстай?
Давайте пойдём назад тем же путём, которым мы пришли сюда.	Уæдæ æцæуæм фæстæмæ уыцы фæндагыл, кацыйл бацыдыстам
Я ни о чём другом думать не могу.	Мæ бон нау æндæрыл хъуыды кæнын
Я не могу пить алкоголь.	Мæ бон алкоголь нуазын нæу.
Вы дверь закрыли?	Дуар сæхгæдтат?
Сколько ты хочешь молока?	Æхсыр дæ цас хъæуы?
Плохо тебе?	Æвзæр дын у?
Мария очень любит живые цветы.	Мария тынг уарзы дидинджытæ.
Что Вам известно о ЦРУ?	ЦРУйы тыххæй цы зону?
Есть никто не хотел.	Хæрын никæйы нæ фæндыди.
Вы не боитесь?	Нæ тæрсут?
Я без Тома не пойду.	Æнæ Томæй нæ ацæудзынæн.
Кофе у тебя найдётся?	Кофе дæм ис?
Работать не тяжело.	Кусын зын нæу.
Я очень люблю театр.	Æз тынг уарзын театр.
Это была не я! Это был он!	Æз нæ уыдтæн! Уый уыди!
Почему Том так поступает?	Том афтæ цæмæн кæны?
Том много плачет?	Том бирæ кæуы?
Его отец — японец.	Йæ фыд япойнаг у.
Не теряйте времени.	Рæстæг ма сафут.
Почему ты сидишь на моём стуле?	Мæ бандоныл цæмæн бадыс?
Мы не пели.	Заргæ нæ кодтам.
Мы не пели.	Мах нæ зарыдыстæм.
Том первый вошёл в пещеру.	Фыццаг лæгæтмæ бацыди Том.
Ты совсем ненормальный?	Æрра дæ?
Том очень красивый.	Том тынг рæсугъд у.
Вызывайте полицию!	Пъæлицæмæ бадзурут.
Давайте играть в прятки.	Æмбæхсынтæй ахъазæм.
Мы сделали что-то неправильно?	Мах исты раст нæ сарыстам?
Зачем Том остаётся?	Том цæмæн баззайы?
Деньги у вас с собой?	Хша дæм ис?
Я понимаю вас, когда вы не очень быстро говорите.	Тагъд иу куынна дзурут уад иу уа æмбарын
Я и не думал тебя обманывать.	Нæдæр хъуыды кодтон дæу сайн
Полагаю, я должен извиниться.	Ыз æфтæ хъуыды кæнын, мæ хъомæ хатыртæ ракуырон
Я хочу поехать с Томом в Бостон.	Томимæ мæ фæнды Бостонмæ ацæуын.
Он занят.	Уийы не ’вдӕлы
Как я раньше жила без него?	Нæ уымæй куыд цардтæн раздæр?
Сначала я ему не поверил.	Фыццыгæй йыл нæ баууæндыдтæн.
Когда нам ей сказать?	Кæд йын æй зæгъæм?
Завтра ты будешь счастлив.	Сом амондджын уыдзынæ.
Том сказал мне, что ему нравится эта идея.	Том мын зæгъдтæ æмæ уый зæрдæмæ цæуынц уыцы хъуыдытæ
Давайте я расскажу вам, как это можно сделать.	Цæйут æз уын радзурон, куыдæй ис гæнæн саразын.
Ты меня за придурка не держи!	Ды мæ æдылыйыл ма нымай!
Я умею прыгать.	Ыз зонын гæпп кæнын
В книге есть страницы.	Чиныгы ис фæрстæ
Надеюсь, он меня ждёт.	Ныфс мæ ис , кæй мæм нхъæлмæ кæсы.
Вы хотите, чтобы я ей позвонил?	Сымах фæнды, цæмæй йæм æз фæдзурон ?
Старый пёс лаял.	Зæронд куыдз рæйыды
Я сегодня ходил к зубному.	Ыз абон уыдтан дохтырмæ
Том бежал.	Том лыгъдис.
Что собираетесь делать вечером?	Цы хъавут аразын изæры?
Хочешь заплатить прямо сейчас или попозже?	Ерын дæ фæнды бафидын æви стæ?
Нам это нужно делать каждый день.	Махæн ай алы бон дæр хъæуы аразын.
Почему он плачет?	Уи цæмæ кæуы?
Детям велели занять свои места.	Сывæллæттæн загътон сæ бынæдтæ бацахсыг.
Рыбы не любят солнечный свет.	Кæсæгтæ нæ уарзынц хуры рухс.
Том сказал мне, что споёт.	Том мын загъта, кæй азардзæнис уый.
Я сейчас говорю с моим другом по телефону.	Æз ен тæккæ ме’мбалимæ телефонæй дзурын.
Он знал его?	Зыдта йæ?
Я сказал тебе, чтобы ты не разговаривал с Томом.	Æз дын загътон ,цæмæй Томимæ ма дзурай.
Цветам и деревьям нужны чистый воздух и свежая вода.	Дидинджыты æмæ бæлæсты хъæуы сыгъдæг уæлдæф æмæ ног дон.
Том оказался сильнее, чем его противник.	Том тыхджындæр разындис , йæ ныхмæлæууæгæй.
Мы подумываем о переезде.	Мах ахъуыды кæндзыстæ ацыдыл иу ранæй иннæмæ.
Через два года она уже бегло говорила по-немецки.	Дыууæ азы фæстæ дзæбæх дзырдта немцаг æвзагыл.
Давно её нет?	Рагæй нæй?
Том сказал, это, мол, просто прикол.	Том загъта, уый дам хъынджылæг у .
Возможно, я оставила зонтик в автобусе.	Чи зоны, автобуса ныууагътон мæ зонт.
Я даже не знаю твоего настоящего имени.	Æз дын дæ цæг ном дæр нæ зонын .
Хорошие люди попадают в рай.	Дзæбæх адæм дзæнæтмæ бахауынц .
Сломай за́мок.	Ныппырх кæн чесена.
Лучше я вернусь к работе.	Фæлтау куыстмæ æрбацæудзынæн.
Том хочет внимания.	Томы хъæуы æдзынæгдзинад.
Том никогда не влюблялся.	Том никуы уарзта.
Ворота были заперты.	Дуæрттæ уыдысты хгæд.
Если бы у меня было чуть больше денег, я бы его купил.	Гыццыл ма мæм фылдæр хца куы уыдаит , уæдæй балхæдтаин.
Вы думали, я действительно это выпью?	Сымах хъуыды кодтат, æз æнæмæнгæй ай бануаздзынæн?
Том построил свой собственный дом.	Том самадта йæхи хæдзар.
Папа, я тебя люблю.	Дада, æз дæу бирæ уарзын.
Многое тебе понравится.	Бирæ цы дæр тæ фæцæудзæнис дæ зæрдæмæ.
Она всё ломает.	Алцыдæр цъæл кæны.
Как можно быстро выучить иностранный язык?	Куыд ис гæнæн тагъд фæсарæйнаг æвзаг сахуыр кæнын?
То время прошло.	Рæстæг æрцыдис.
Я всегда вас слушаю.	Æз уæм алы хатт дæр фæхъусын.
Дедушка Тома был неграмотным.	Томы баба уыдис æнахуыргонд.
Мы учимся с ним в одном классе.	Иу кълассы ахуыр кæнæм.
Я не смог разбудить Тома.	Мæ бон не’ си Томы райхъал кæнын.
Он говорит, что отлично провёл выходные.	Афта дзырдта , дзæбæх дам арвыстон мæ æнцойбон.
Надо было найти формулу.	Формулæ хъуыдис ссарын.
"Здесь я построю город", — сказал Пётр. Шёл 1703 год.	«Ам æз сараздзынæн горæт»,- загъта Пётр.
Если Том этого не писал, то кто?	Кæдæй Том нæ ныффыста , уæд чи ?
Я в двенадцать перезвоню.	Дыууадæс сахатыл дæб бадзурдзынæн.
Они ненавидят женщин.	Сæ уæнгæл уынынц сылгоймæгтæй.
Он всегда со мной.	Кæд фæнды дæр ме’мæ ис .
Скажи Тому, чтобы не приходил.	Зæгъ Томæн, цæмæй ма рбацæуа .
Я хотел покрасить волосы.	Мæн фæндыдис сахурын мæ сæрыхъуынтæ.
Мне знакомо это чувство.	Мæнæн зонгæ у уыцы æнкъарæн.
У неё есть дядя, который работает в банке.	Уымæн ис мадыфсымæр , кæцы кусы банкы.
Вам нравится то, что вы делаете?	Цы аразут , уый уæ зæрдæмæ цæуы .
Я думаю, Том нашёл новую работу.	Æз хъуыды кæнын, Том ссардта ног куыст.
Мы дожидаться его не стали.	Мах йæм æнхъæлмæ нал кастыстæм.
Хороший был день?	Хорз бон уыди?
У этой машины не хватает какой-то части.	Ацы машинæйы цыдæр хай нæ фаг кæны.
Давай забудем о прошлом и поговорим о будущем.	Цæй ферох кæнæм цы уыдис уый , æмæ адзурæм сомбоныл.
Они играют в карты.	Къамтæй хъазынц.
Дэн идёт домой.	Дэн йæ хæдзармæ цæуы.
Книга твоя.	Чиныг дæу у.
Теперь Том знает, как это делается.	Ныр Том зоны куыд кæнын хъæуы.
Это для птиц.	Ай цъиуæн у.
Лучше пить шампанское вместо колы.	Колæйы бæстæ шампайнаг хуыздæр уыдзæн баназын.
Вы лучше неё.	Ды йæ хуыздæрдæр дæ.
Лицо Лейлы было всё в крови.	Лейлайы цæсгом туджы уыди.
Я учусь на врача.	Æз дохтырыл ахуыр кæнын.
Мне завтра утром рано вставать.	Æз райсом раджы стын.
Я уверен, что Том будет пьян.	Æз зонын, Том уыдзæн расыг.
Я тебя не искал.	Æз дæ агургæ нæ кодтон.
Он подарил ей кольцо с бриллиантами.	Лæппу къухдарæнын бриллиантимæ чызгæн балæвар кодта.
Осторожно: двери закрываются!	Уæхимæ кæсут: дуæрттæ ахгæнынц!
Сколько стоят эти апельсины?	Ацы апельсинтæ цас кæнынц?
Самолёт садится.	Хæдтæхæг æрбады.
Ты хоть иногда голову включай.	Искуы иу хатт дæ сæр скусын кæн.
Ты хоть иногда голову включай.	Искуы иу хатт дæ сæрæй ахъуыды кæн.
"Ты не видел мой мобильный телефон?" - "Он на столе".	"Нæ федтай мæ телефон?"- "Стъолыл и."
Я беднею.	Æз мæгуырдæр кæнын.
Том показал мне, как делать пиццу.	Том мын равдыста куыд кæнын хъæуы пиццæ.
Самолёт приземлится в семь часов вечера.	Хæдтæхæг æрбацæн изæрæй авд сахатыл.
Мы думали, что проделали хорошую работу.	Мах хъуыды кодтам цæмæй хорз акусыдыстæм.
Как вы думаете, сколько времени у нас на это уйдёт?	Куыд хъуыды кæнут, цас рæстæг нæ бахъæудзæн?
Почему вы выключили телевизор?	Телевизор цæмæн ахуысын кодтат?
Твоя собака кусается?	Дæ куыдз хæцы?
Простых ответов не существует.	Хуымæтæг дзуаппытæ нæй.
Я хочу иметь настоящий дом с садом.	Мæн фæнды æцæг хæдзар цæхæрадонимæ.
Вы не можете уйти.	Уæ бон нæу ацæуын.
Дай я ещё раз гляну.	Æри ма, иу хатт ма йæм æркæсон.
Не беспокойтесь о моей собаке.	Мæ куыдзы тыххæй ма тыхсут.
Никто не утверждает, что он святой.	Ничи нæ загъы цæмæ дзуар у.
Они продают конфеты.	Уыдон къафеттæ уæй кæнынц.
Мы купили квартиру недавно.	Мах ибон фатер балхæтам.
Я рада за Тома.	Æз Томы тыххæй цин кæнын.
Ни один канадец никогда такого бы не сказал.	Иунæг канадæйаг афтæ никуы нæ загътаид.
Гибралтар — это страна?	Гибралтар бæстæ у?
Я всё делаю сама.	Алцыдæр мæхæдæг кæнын.
Это я написала письмо.	Æз ныффысстон писмо.
Я никогда не буду таким, как Том.	Æз Томы хуызæн никуы нæ уыдзынæн.
Что-то мне не хочется работать.	Кусын мæ цыдæр нæ фæнды.
Они ждали больше часа.	Сахатæй фылдæр æнхъæлмæ кæсынц.
Я не сказал им, что ты здесь.	Нæ цын загътон цæмæй ам дæ.
Она видела, как он поедал сэндвич.	Чызг федта лæппу сэндвич куыд хордта уый.
Моя мама была против того, чтобы я ехал один.	Мæ мады нæ фæндыди цæмæй æз иунæгæй цæуон.
Вернувшись домой из школы, она принялась помогать матери на кухне.	Чызг скъолайæ хæдзармæ куы æрбацыди, уæд йæ мадæн къухынийы æххуыс кæнын райдыдта.
Погоди ещё одну минутку, хорошо?	Иу минут ма фæлæу, хорз?
Я с самого утра голодный.	Æз райсомæй æххормаг дæн.
В следующем году Тому будет сто лет.	Иннæ азы Томæн уыдзæн сæдæ азы.
Раньше Исландия принадлежала Дании.	Раздæр Исланди Данийы уыди.
Мы идём ко дну.	Мах цæуæм бынмæ.
Вы умнее их.	Сымах уыдонæй зæнджындæр стут.
У человека есть способность разговаривать.	Адæймагæн ис арæхстдзинад дзурын.
Думаю, Том сильно злится.	Хъуыды кæнын , Том тынг мæсты у.
Вы слушаете, что я говорю?	Хъусут цы дзурын?
Ему нравятся рассказы.	Йæ зæрдæмæ цæуынц радзырдтæ.
Я вспомнил, что забыл покормить собаку.	Æрхъуыды кодтон , кæй мæ ферох ис куыдзæн хæринга раттын .
Почему ты до сих пор стоишь?	Цæмæ лæууыс ерын мæ?
Я бы хотел, чтобы ты сделал то, что тебе говорят.	Мæн фæндит, цæмæй ды саразай , цы дын дзурынц æуый.
Хотите знать, почему я врал Тому?	Фæнды зонын, цæмæ сайдтон Томы?
Это искусственный язык.	Ай аразгæ æвзаг у .
Книга на столе?	Чиныг столыл ис ?
Может быть, она Вас любит.	Æвæццæгæн уæ уырзгæ кæны .
Почему Том не приедет с вами в Бостон?	Цæмæнæ æрцæудзæн Том сымахимæ Бостонмæ?
Я могу посчитать.	Мæ бон у банымайын.
Ответьте на вопрос.	Дзуапп раттут фарстайæн .
Том сказал, что ему холодно.	Том загъта, уазал йын кæй у уый .
Узел завязан?	Æлхынцъ баст у ?
Не раздражай никого.	Мæстæй макæй мар .
Хотите уйти - пожалуйста.	Фæнды уæ ацæуын - табуафси.
Я увидел.	Æз федтон .
Мы не жалеем об этом решении.	Мах нæ фæсмон кæнæм уыцы уынаффæйадыл.
Ты был преподавателем больше тридцати лет.	Ды уыдтæ ахуыргæнæг дæс æмæ ссæдз азæй фылдæр .
Том не хочет учиться в Бостоне.	Томы нæ фæнды Бостоны ахуыр кæнын.
Нас ждало удивительное открытие.	Диссаджы раргом нæм æнхъæлмæ кастис .
